time,pm 1.0,pm 2.5,pm 10
1739406768.9701395,3,3,3
1739406769.971876,2,3,3
1739406770.9742024,2,3,3
1739406771.9764907,2,3,3
1739406772.9787903,2,3,3
1739406773.9810855,2,3,3
1739406774.9834263,2,3,3
1739406775.985684,2,3,3
1739406776.9881444,2,3,3
1739406777.9905257,2,3,3
1739406778.99286,3,3,3
1739406779.9941392,3,3,3
1739406780.9957573,3,3,3
1739406781.9976413,3,3,3
1739406782.9995885,3,3,3
1739406784.0016477,3,3,3
1739406785.0036473,3,3,3
1739406786.0059993,3,3,3
1739406787.0082862,3,3,3
1739406788.0101655,2,3,3
1739406789.011727,2,3,3
1739406790.013273,2,3,3
1739406791.0141544,2,3,3
1739406792.015674,2,3,3
1739406793.0173395,2,3,3
1739406794.0194867,2,3,3
1739406795.0217297,2,3,3
1739406796.023661,2,3,3
1739406797.0252323,2,2,2
1739406798.0261374,2,2,2
