Time,Latitude,Longitude,counts
1746052049.59,0,0,60.0
1746052051.58,0,0,60.5
1746052053.59,0,0,53.0
1746052055.6,0,0,60.0
1746052057.59,0,0,49.0
1746052059.59,0,0,56.5
1746052061.57,0,0,56.5
1746052063.59,0,0,55.0
1746052065.59,0,0,51.5
1746052067.64,0,0,57.0
1746052069.6,0,0,69.0
1746052071.56,0,0,69.0
1746052073.59,0,0,61.0
1746052075.6,0,0,66.5
1746052077.59,0,0,57.0
1746052079.59,0,0,60.0
1746052081.57,0,0,64.0
1746052083.59,0,0,64.5
1746052085.6,0,0,59.5
1746052087.61,0,0,58.0
1746052089.58,0,0,56.0
1746052091.59,0,0,50.5
1746052093.62,0,0,50.0
1746052095.6,0,0,60.5
1746052097.59,0,0,52.0
1746052099.57,0,0,52.5
1746052101.59,0,0,53.0
1746052103.59,0,0,57.5
1746052105.6,0,0,66.0
1746052107.59,0,0,68.0
1746052109.57,0,0,68.0
1746052111.59,0,0,67.5
1746052113.59,0,0,54.5
1746052115.59,0,0,53.5
1746052117.59,0,0,52.0
1746052119.56,0,0,57.5
1746052121.59,0,0,42.0
1746052123.6,0,0,46.5
1746052125.6,0,0,53.0
1746052127.56,0,0,53.0
1746052129.59,0,0,55.5
1746052131.6,0,0,49.0
1746052133.59,0,0,48.5
1746052135.59,0,0,56.0
1746052137.58,0,0,54.0
1746052139.59,0,0,52.5
1746052141.61,0,0,52.5
1746052143.59,0,0,55.5
1746052145.61,0,0,46.0
1746052147.57,0,0,46.0
1746052149.59,0,0,46.5
1746052151.59,0,0,48.5
1746052153.59,0,0,46.0
1746052155.57,0,0,45.0
1746052157.59,0,0,46.5
1746052159.6,0,0,56.0
1746052161.59,0,0,57.5
1746052163.59,0,0,57.0
1746052165.58,0,0,53.0
1746052167.59,0,0,52.0
